Campaign UUID,Offer type,Status,Start date,End date,Stores,Audience,Sales (USD),New customers,Orders,Uber funding (%),Items
204da8f0-004a-4d0c-8cfd-293418c50829,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$402",3,12,0,"6 pc. Chicken McNuggets®"
ca7e1dba-deb9-42cf-b610-b4d71d9f197d,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$313",2,9,0,"Sausage & Egg McMuffin®"
5b21461b-52eb-4a1c-8426-391a63db32d7,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$88",3,3,0,"6 pc. Chicken McNuggets®"
4fef7c6e-f965-4196-93a3-3ae224e51404,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
48e68fcc-abca-4315-ad2a-da670734741e,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$283",2,8,0,"6 pc. Chicken McNuggets®"
59e74f9d-4196-42a7-ab1a-1730225fcfb3,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$59",1,2,0,"Sausage & Egg McMuffin®"
366ccc5c-6127-48c7-8b56-e75b23cb3ad7,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$34",0,2,0,"6 pc. Chicken McNuggets®"
055ff2aa-2fc5-44a9-bad1-76be9700301f,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$69",1,3,0,"Sausage & Egg McMuffin®"
e13a2079-528e-4a5f-a6df-3f55fd0b806f,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$61",0,3,0,"6 pc. Chicken McNuggets®"
8b23cfd8-6eb4-4dc1-80a1-0a6d3791a5be,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$141",1,6,0,"Sausage & Egg McMuffin®"
8ab5840c-9c1d-4488-8a0f-790fda8d0aba,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
357de51f-1a42-4665-9daf-926c12ffb303,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
4699195c-d633-4a13-a52b-aa33ae60b35f,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
64512321-6c54-403a-be49-78913e74ae7c,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
a6bfc9b2-6a3a-4d4d-b212-6d82c6f49d0f,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
1a38d38a-9466-440a-84c9-78afc9bd6677,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
c6d88159-b905-4e0f-abfd-ad8f337446bb,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
00b16bb4-71d4-4175-98fa-42670aa0cae5,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
09c08384-dce2-47f9-9b03-0555499a84ee,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$45",2,2,0,"6 pc. Chicken McNuggets®"
61d33e47-6328-4441-97d9-8de396154dfb,"Buy 1, Get 1 Free",ACTIVE,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$62",0,2,0,"Sausage & Egg McMuffin®"
